Role,Location,Min Salary,Max Salary,Recruiter,Salary_Text,Description
Senior Veterinary Surgeon,"Derby, Derbyshire",70000,70000,Ambivet Veterinary Group,"Salary up to £70,000 dependent on experience",Exciting new opportunity at a brand new greenfield practice site in Derby! Would you like to be part of our new venture?
Veterinary Surgeon,"Livingston, West Lothian",58000,58000,Riverside Veterinary Practice,"Salary up to £58,000 depending on experience","Riverside Veterinary Practice, West Lothian are looking for a Veterinary Surgeon to join their multi-site team."
Veterinary Surgeon,"Dalkeith, Midlothian",58000,58000,Market Cross Veterinary Clinic Ltd,"Salary up to £58,000 depending on experience","We are looking for a compassionate and enthusiastic, Veterinary Surgeon committed to providing high standards of patient care."
Veterinary Surgeon,"Stoke-on-Trent, Staffordshire",53000,80000,MiNightVet Emergency Care,"Salary from £53,000 to £80,000 depending on hours and experience",Have a passion for Emergency Critical Care? Want to enjoy working with an exciting and varied caseload and enjoy a truly amazing work/life balance?
Veterinary Surgeon,Aberdeenshire,60000,60000,Buchan Vets,"Salary up to £60,000 depending on experience","We are looking for small animal vets to join our team. All experience levels welcome to apply, from recent grads plus experienced vets."
Veterinary Surgeon,"Kidsgrove, Stoke-on-Trent",40000,60000,Beechwood Veterinary Practice CVS,"Salary from £40,000 to £60,000 depending on experience","Veterinary Surgeon opportunity available at Beechwood Vets, Kidsgrove Stoke on Trent. Full and part-time options. No out-of-hours."
Veterinary Surgeon,"Heanor, Derbyshire",58000,58000,Ambivet Veterinary Group,"Salary up to £58,000 dependent on experience","Would you like to be part of our new venture? Working in brand new facilities, new team, new challenge?"
Veterinary Surgeon,"Sutton-In-Ashfield, Nottinghamshire",60000,60000,Thompsons Veterinary Surgery,"Salary up to £60,000 depending on experience","A practice that retains its team extremely well and thrives on creating a positive, fun and caring working atmosphere."
Veterinary Surgeon,"Morpeth, Northumberland",55000,55000,"Robson & Prescott Veterinary Surgeons, Morpeth Whorral Bank Hospital","Salary up to £55,000 depending on experience",Here at Robson & Prescott Veterinary Surgeons we are looking for an Equine Vet to join our team.
Veterinary Surgeon,"Sonning Common, Reading",70000,70000,Active Vetcare Group (MS Vets),"Salary up to £70,000 depending on experience",We are seeking a highly skilled and motivated Small Animal Vet to join our dynamic team at Active VetCare - Sonning Common as our Lead Vet!
Veterinary Surgeon,Falkirk (County),67500,67500,Lawrie Veterinary Group,"Salary up to £67,500 depending on experience",We are looking to recruit an experienced and highly motivated Veterinary Surgeon for our expanding team at Lawrie Vets.
Veterinary Surgeon,"Ashbourne, Derbyshire",65000,65000,Blenheim Veterinary Centre Ltd,"Salary up to £65,000 depending on experience","To complement our team of highly skilled vets, we require a dedicated professional to join us on a full or part-time basis."
Veterinary Surgeon,Cambridgeshire,68000,68000,Amical Veterinary Centre,"Salary up to £68,000 depending on experience",We are looking for an experienced small animal Veterinary Surgeon to join our team at Amical on a permanent basis.
Veterinary Surgeon,"Towcester, Northamptonshire",75000,75000,The Vet Centre - Cherry Lane,"Salary up to £75,000 pro rata depending on experience","The Vet Centre, Cherry Lane are looking for a Veterinary Surgeon capable of sole charge to join us at our branch practice on a part-time basis!"
Veterinary Surgeon,"Bolton, Lancashire",37000,50000,Regan Veterinary Group,"Salary £37,000 to £50,000 pro rata, depending on experience","We are looking for a Small Animal Vet, with a keen interest in ophthalmology, to join the team at Regan Veterinary Group at our Bury Road branch."
Veterinary Surgeon,"Kingston upon Hull, East Riding of Yorkshire",65000,65000,"kingston Veterinary Group, Beverley Road","Salary up to £65,000 depending on experience","We are looking for a dedicated First Opinion General Practitioner to join our large, friendly, and supportive team at Kingston Veterinary Group."
Veterinary Surgeon,Londonderry,42000,60000,St Elmo Veterinary Clinic,"Salary from £42,000 to £60,000 pro rata depending on experience",We have an exciting opportunity for an enthusiastic Small Animal Vet to join our growing team at St Elmo Veterinary Clinic in Derry/Londonderry.
Veterinary Surgeon,"Nantwich, Cheshire",75000,75000,Leonard Brother Vets Nantwich,"Salary up to £75,000 pro rata depending on experience","This is a fantastic opportunity for a Vet looking to join a supportive practice, working in whatever way they feel comfortable."
Veterinary Surgeon,"Oldham, Greater Manchester",70000,70000,Briar Dawn Veterinary Centre Ltd,"Salary up to £70,000 pro rata depending on experience","Briar Dawn Veterinary Centre is searching for a Small Animal Vet to join their team in Oldham, Lancashire."
Veterinary Surgeon,"Worthing, West Sussex",70000,70000,Grove Lodge Veterinary Group,"Salary up to £70,000 depending on experience",We are looking for a vet to join us at one or more of our branches or at our hospital on the beautiful south coast.
Veterinary Surgeon,"Bridgwater, Somerset",63000,63000,Blake Vets,"Salary up to £63,000 pro rata, depending on experience",Are you a Veterinary Surgeon looking for a consult-only role? This position can be worked over 2-5 days per week.
Veterinary Surgeon,"Rhiwbina, Cardiff",75000,75000,Heath Vets,"Salary up to £75,000 depending on experience","We are looking for passionate Veterinary Surgeons to join us at Heath Vets, Rhiwbina!"
Veterinary Surgeon,"Bushbury, Wolverhampton",75000,75000,"St George's Vets, Bushbury","Salary up to £75,000 depending on experience","Here at St George’s Vets, we are looking for a Veterinary Surgeon to join our team in Bushbury."
Senior/Head Veterinary Surgeon,"Chatham, Kent",80000,80000,"Easipetcare, Chatham","Salary up to £80,000 dependent on experience",We have a unique opportunity for a senior/head vet to lead our dedicated team at Chatham.
Veterinary Surgeon,"North Yorkshire, United Kingdom",50000,50000,Vets for Pets,"Salary up to £50,000 depending on experience","Vet Surgeon, Full or part time, Fantastic opportunity to develop as practice grows Vets for Pets Middlesbrough Cleveland Park are looking for a Vet..."
Veterinary Surgeon,"Halesowen, West Midlands",75000,75000,"St George's Vets, Halesowen","Salary up to £75,000 depending on experience","Here at St George’s Vets, we are looking for a Veterinary Surgeon to join our team in Halesowen. This role can be full-time or part-time."
Veterinary Surgeon,"Yate, Bristol",73000,73000,Rowe Veterinary Group - Yate,"Salary up to £73,000 depending on experience/additional qualifications",We are looking for an experienced vet who has a strong ability to lead and teach to join our fantastic team.
Veterinary Surgeon,"Newport, Newport (Casnewydd)",70000,70000,"Alphavet Veterinary Centre, Langstone Branch","Salary up to £70,000 per annum depending on experience",Are you an experienced and dedicated Veterinary Surgeon with a passion for high clinical standards and a drive for excellence?
Veterinary Surgeon,"Selsey, Chichester",75000,75000,"Downland Veterinary Group, Selsey","Salary up to £75,000 depending on experience","Exciting job opportunity in the sunny coastal West Sussex, this is a role that would suit a progressive driven small animal vet."
Veterinary Surgeon,"York, North Yorkshire",,,Vets for Pets,Competitive Salary,We currently have a rare opportunity for a Veterinary Surgeon to join us.
Veterinary Surgeon,"Usk, Monmouthshire (Sir Fynwy)",65000,65000,Usk Vets,"Salary up to £65,000 depending on experience",Find a supportive team and a world of opportunity at Usk!
Veterinary Surgeon,"Whalley Range, Manchester",65000,65000,Ashleigh Veterinary Centre,"Salary up to £65,000 depending on experience","An exciting opportunity has arisen for a Veterinary Surgeon to join our amazing team here at Ashleigh Vets, Chorlton, Manchester UK! WE’RE HIRING!..."
Veterinary Surgeon,"Oswestry, Shropshire",75000,75000,Border Veterinary Centre,"Salary up to £75,000 depending on experience",Are you a passionate and experienced Veterinary Surgeon looking to be part of a fantastic team committed to excellence? Look no further!
Veterinary Surgeon,"Bloxwich, Walsall",70000,70000,"White Cross Vets, Bloxwich","Salary up to £70,000 depending on experience","White Cross Vets, Bloxwich are looking for a Veterinary Surgeon to join them on a permanent basis."
Veterinary Surgeon,"Northampton, Northamptonshire",70000,70000,"White Cross Vets, Northampton","Salary up to £70,000 FTE depending on experience","Our wonderful White Cross Vets, Northampton practice is looking for a part-time Veterinary Surgeon to join their team."
Veterinary Surgeon,"Cringleford, Norwich",65000,65000,Eaton Veterinary Practice,"Salary up to £65,000 depending on experience",We are looking for a well-rounded and keen small animal Veterinary Surgeon to join our single site practice.
Veterinary Surgeon,"Middlesbrough, North Yorkshire",,,Vets for Pets,Competitive Salary,"Veterinary Surgeon, Full or Part time flexible hours, salary up to £60k, consult-only role considered, no OOHs, 1 in 4 Saturdays. Our dedicated and..."
Veterinary Surgeon,"Bournemouth, Dorset",70000,70000,Aniwell Veterinary Clinic,"Salary up to £70,000 depending on experience",We are looking for an experienced Veterinary Surgeon to join our friendly and supportive team.
Veterinary Surgeon,"Widnes, Cheshire",70000,70000,Andale Veterinary Centre,"Salary up to £70,000 depending on experience","At Andale Veterinary Centre, we're looking for a dedicated Veterinary Surgeon to become a part of our dynamic team."
Veterinary Surgeon,"Sheffield, South Yorkshire",70000,70000,"White Cross Vets, Sheffield","Salary up to £70,000 depending on experience","We are looking for a Veterinary Surgeon to join our lovely team at White Cross Vets, Handsworth in Sheffield."
Veterinary Surgeon,"Market Drayton, Shropshire",75000,75000,Tern Veterinary Group,"Salary up to £75,000 depending on experience",Tern Vets are looking for a dedicated Farm Veterinary Surgeon to join our team.
Veterinary Surgeon,"Beaconsfield, Buckinghamshire",75000,75000,Straid Veterinary Clinic,"Salary up to £75,000 depending on experience","Here at Straid Vets, we are looking for a veterinary surgeon to join our established and supportive team."
Veterinary Surgeon,"Ashington, Sussex",,,Sussex Equine Hospital Ltd,Competitive Salary,"Here at Sussex Equine Hospital, we are looking for a new Associate to join our Ambulatory team."
Senior Veterinary Surgeon,"Wolverhampton, West Midlands",71000,71000,White Cross Vets - Wolverhampton,"Salary up to £71,000 depending on experience","Find your next career move at White Cross Vets, Wolverhampton! We have an exciting opportunity for a Senior Veterinary Surgeon to join the team."
